doc_id,filename,type,sha256,status,failed_reason,pages,sections,total_chars,chunks,out_extracted,out_normalized,out_document,out_chunks
01-8695fa33bb36,01.xml,xml,8695fa33bb361deb53528ffab48b51a75385d7f41245939312d47b37ed69e48b,SUCCESS,,,,0,1,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/extracted/01-8695fa33bb36.xml.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/normalized/01-8695fa33bb36.normalized.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/documents/test_group/01-8695fa33bb36.document.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/chunks/test_group/01-8695fa33bb36.chunks.jsonl
0001-7668692e2d7b,0001.xml,xml,7668692e2d7ba82ee176088a995f935318f2ddc61942ca52827b0eb31bd13084,QUARANTINE,Missing required output files,,,0,31,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/extracted/0001-7668692e2d7b.xml.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/normalized/0001-7668692e2d7b.normalized.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/documents/0001-7668692e2d7b.document.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/chunks/0001-7668692e2d7b.chunks.jsonl
02-20f8a6a76982,02.xml,xml,20f8a6a76982dd9b6872e677ae603db2c6b8cfbf4dacd17f35b8ea1082fb6f62,SUCCESS,,,,0,1,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/extracted/02-20f8a6a76982.xml.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/normalized/02-20f8a6a76982.normalized.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/documents/test_group/02-20f8a6a76982.document.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/chunks/test_group/02-20f8a6a76982.chunks.jsonl
