doc_id,filename,type,sha256,status,failed_reason,pages,sections,total_chars,chunks,duration_ms,out_extracted,out_normalized,out_document,out_chunks
test_group-merged,test_group_merged.xml,xml,8695fa33bb361deb53528ffab48b51a75385d7f41245939312d47b37ed69e48b,SUCCESS,,,,0,2,86,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/extracted/test_group-merged.xml.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/normalized/test_group-merged.normalized.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/documents/test_group/test_group-merged.document.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/chunks/test_group/test_group-merged.chunks.jsonl
ungrouped-merged,ungrouped_merged.xml,xml,7668692e2d7ba82ee176088a995f935318f2ddc61942ca52827b0eb31bd13084,REVIEW,Too many short chunks: 0.94,,,0,31,89,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/extracted/ungrouped-merged.xml.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/normalized/ungrouped-merged.normalized.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/documents/ungrouped/ungrouped-merged.document.json,/Users/youngchanlee/workFace/00_05_RAG_DATA/data/prepared/chunks/ungrouped/ungrouped-merged.chunks.jsonl
